@RELATION caltech101

@ATTRIBUTE	quantCol0	NUMERIC
@ATTRIBUTE	quantCol1	NUMERIC
@ATTRIBUTE	quantCol2	NUMERIC
@ATTRIBUTE	quantCol3	NUMERIC
@ATTRIBUTE	quantCol4	NUMERIC
@ATTRIBUTE	quantCol5	NUMERIC
@ATTRIBUTE	quantCol6	NUMERIC
@ATTRIBUTE	quantCol7	NUMERIC
@ATTRIBUTE	quantCol8	NUMERIC
@ATTRIBUTE	quantCol9	NUMERIC
@ATTRIBUTE	quantCol10	NUMERIC
@ATTRIBUTE	quantCol11	NUMERIC
@ATTRIBUTE	quantCol12	NUMERIC
@ATTRIBUTE	quantCol13	NUMERIC
@ATTRIBUTE	quantCol14	NUMERIC
@ATTRIBUTE	quantCol15	NUMERIC
@ATTRIBUTE	quantCol16	NUMERIC
@ATTRIBUTE	quantCol17	NUMERIC
@ATTRIBUTE	quantCol18	NUMERIC
@ATTRIBUTE	quantCol19	NUMERIC
@ATTRIBUTE	quantCol20	NUMERIC
@ATTRIBUTE	quantCol21	NUMERIC
@ATTRIBUTE	quantCol22	NUMERIC
@ATTRIBUTE	quantCol23	NUMERIC
@ATTRIBUTE	quantCol24	NUMERIC
@ATTRIBUTE	quantCol25	NUMERIC
@ATTRIBUTE	quantCol26	NUMERIC
@ATTRIBUTE	quantCol27	NUMERIC
@ATTRIBUTE	quantCol28	NUMERIC
@ATTRIBUTE	quantCol29	NUMERIC
@ATTRIBUTE	quantCol30	NUMERIC
@ATTRIBUTE	quantCol31	NUMERIC
@ATTRIBUTE	quantCol32	NUMERIC
@ATTRIBUTE	quantCol33	NUMERIC
@ATTRIBUTE	quantCol34	NUMERIC
@ATTRIBUTE	quantCol35	NUMERIC
@ATTRIBUTE	quantCol36	NUMERIC
@ATTRIBUTE	quantCol37	NUMERIC
@ATTRIBUTE	quantCol38	NUMERIC
@ATTRIBUTE	quantCol39	NUMERIC
@ATTRIBUTE	quantCol40	NUMERIC
@ATTRIBUTE	quantCol41	NUMERIC
@ATTRIBUTE	quantCol42	NUMERIC
@ATTRIBUTE	quantCol43	NUMERIC
@ATTRIBUTE	quantCol44	NUMERIC
@ATTRIBUTE	quantCol45	NUMERIC
@ATTRIBUTE	quantCol46	NUMERIC
@ATTRIBUTE	quantCol47	NUMERIC
@ATTRIBUTE	quantCol48	NUMERIC
@ATTRIBUTE	quantCol49	NUMERIC
@ATTRIBUTE	quantCol50	NUMERIC
@ATTRIBUTE	quantCol51	NUMERIC
@ATTRIBUTE	quantCol52	NUMERIC
@ATTRIBUTE	quantCol53	NUMERIC
@ATTRIBUTE	quantCol54	NUMERIC
@ATTRIBUTE	quantCol55	NUMERIC
@ATTRIBUTE	quantCol56	NUMERIC
@ATTRIBUTE	quantCol57	NUMERIC
@ATTRIBUTE	quantCol58	NUMERIC
@ATTRIBUTE	quantCol59	NUMERIC
@ATTRIBUTE	quantCol60	NUMERIC
@ATTRIBUTE	quantCol61	NUMERIC
@ATTRIBUTE	quantCol62	NUMERIC
@ATTRIBUTE	quantCol63	NUMERIC
@ATTRIBUTE	class	{binocular,lobster,starfish,scorpion,wild_cat,sea_horse,nautilus,grand_piano,stop_sign,stapler,tick,cougar_body,inline_skate,strawberry,headphone,emu,ewer,ceiling_fan,watch,camera,schooner,helicopter,cellphone,cup,buddha,barrel,windsor_chair,dolphin,rhino,brontosaurus,chair,stegosaurus,Leopards,panda,revolver,water_lilly,okapi,menorah,anchor,metronome,euphonium,bonsai,bass,elephant,cannon,kangaroo,mayfly,joshua_tree,crayfish,pyramid,car_side,wheelchair,dalmatian,rooster,dollar_bill,airplanes,flamingo_head,crab,lamp,gramophone,snoopy,hedgehog,mandolin,soccer_ball,laptop,beaver,garfield,ibis,flamingo,platypus,scissors,minaret,yin_yang,crocodile_head,Faces,hawksbill,Motorbikes,accordion,sunflower,pagoda,ferry,dragonfly,trilobite,octopus,crocodile,brain,Faces_easy,electric_guitar,gerenuk,saxophone,ant,umbrella,butterfly,ketch,wrench,chandelier,cougar_face,pigeon,pizza,llama,lotus}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,53,1,0,0,0,0,0,0,0,5,3,0,0,0,0,152,255,171,84,6,53,50,3,0,30,94,157,144,107,96,139,binocular
0,0,0,0,0,0,0,0,216,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,163,137,12,9,5,8,0,102,98,56,18,0,5,12,9,60,64,22,5,42,41,9,0,92,67,37,18,34,22,13,16,47,59,56,20,13,1,0,0,binocular
38,7,0,0,0,0,0,0,35,52,5,33,0,0,0,0,0,0,0,0,0,0,0,0,69,107,213,158,0,0,5,17,14,51,30,9,4,0,3,3,83,116,193,157,24,53,84,51,70,97,65,40,51,20,21,28,104,96,156,77,85,136,102,50,binocular
0,0,0,0,0,0,0,0,89,146,0,0,0,0,0,0,3,0,0,0,0,0,0,0,149,199,139,131,19,4,0,0,218,29,5,0,35,18,0,0,140,129,73,51,67,39,24,6,162,48,7,5,87,36,7,0,49,129,69,40,27,15,3,0,binocular
18,0,0,0,0,0,0,255,6,0,0,0,0,0,0,0,0,0,0,0,0,8,150,117,22,0,0,0,64,8,3,5,136,178,75,11,110,99,57,74,26,0,0,27,94,35,28,72,139,139,108,103,69,67,28,63,38,53,19,19,23,29,103,147,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,241,147,124,0,0,0,1,42,49,16,0,0,0,0,0,72,120,112,133,13,10,3,82,43,46,12,32,14,26,3,0,60,75,63,34,18,10,11,78,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,232,27,13,0,0,0,0,0,0,0,16,26,46,22,50,129,178,123,118,0,0,0,0,75,26,36,28,45,52,73,225,binocular
121,95,0,0,0,0,0,0,83,124,58,110,0,0,0,0,0,0,0,0,0,0,0,0,121,84,47,93,0,0,0,0,3,0,0,0,5,62,0,0,103,24,13,82,42,0,0,33,69,13,5,30,74,22,3,9,166,135,60,65,31,12,28,237,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,0,0,0,0,0,126,83,92,174,11,22,3,5,99,78,44,0,141,27,3,0,255,255,204,139,99,90,131,255,binocular
0,0,0,0,0,0,0,0,0,0,187,50,255,21,27,24,0,0,0,0,0,0,0,0,188,67,54,14,157,245,187,108,0,0,0,6,0,0,0,0,72,5,3,8,47,4,6,22,0,0,0,2,15,0,0,0,24,0,0,0,0,0,0,10,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,33,161,112,13,0,9,0,0,0,0,0,16,0,0,0,3,85,240,138,88,0,3,0,5,85,38,57,51,66,67,95,242,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,255,255,255,255,239,255,255,binocular
0,0,0,35,0,0,0,0,0,0,0,0,0,0,58,3,0,0,0,0,0,0,0,0,0,0,0,0,49,54,0,0,0,5,0,0,0,0,0,0,14,6,0,0,51,48,0,7,32,34,0,0,26,25,0,0,178,252,226,139,96,93,99,255,binocular
0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,71,125,33,0,4,67,8,0,0,0,3,10,7,4,0,132,172,155,63,32,53,63,22,71,26,28,65,201,90,25,3,215,151,130,126,128,95,65,79,binocular
0,0,93,58,32,0,0,0,0,0,0,0,64,72,33,79,35,48,33,0,13,0,0,0,3,5,0,10,67,68,68,120,127,80,57,62,34,24,7,3,29,7,20,54,65,56,53,91,177,131,114,128,67,44,41,54,255,135,132,129,120,140,127,255,binocular
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,15,0,0,0,0,0,3,5,0,7,1,3,0,1,187,255,108,50,0,7,7,7,90,90,117,126,133,100,94,201,binocular
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,47,46,16,0,36,36,3,0,2,0,2,7,0,0,0,3,186,207,82,33,252,232,116,62,123,44,38,49,56,72,86,174,binocular
0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,158,116,0,0,0,0,0,0,0,0,0,0,125,120,138,102,108,140,73,46,0,0,0,0,3,0,0,3,72,50,59,113,33,0,3,19,2,0,0,1,80,14,6,9,10,11,16,21,binocular
103,11,0,0,0,0,0,51,163,125,7,37,0,0,8,8,0,0,0,0,0,0,102,85,126,101,78,35,32,22,28,21,9,92,199,135,72,110,106,33,122,92,49,26,43,77,70,44,49,149,193,88,70,108,111,46,66,118,124,101,55,42,24,50,lobster
162,42,0,0,0,0,0,3,144,100,54,63,19,7,0,0,0,0,0,0,0,0,46,0,162,143,151,241,25,32,41,20,0,0,0,0,70,7,0,5,92,46,50,117,48,29,33,17,5,0,0,0,51,5,0,7,71,4,0,0,0,0,0,3,lobster
90,0,0,0,0,0,0,0,226,157,7,12,0,0,0,0,0,0,0,0,0,0,6,0,159,176,167,177,0,0,0,5,0,0,0,0,8,16,19,19,86,83,97,178,4,4,3,87,8,0,0,55,22,33,48,82,103,28,41,48,49,82,95,255,lobster
255,2,0,0,0,0,0,17,255,83,11,4,0,0,0,0,0,0,0,0,0,0,117,35,195,69,36,26,12,10,2,4,3,0,0,0,136,38,10,3,166,18,12,12,63,8,5,5,85,0,5,0,133,3,5,3,218,22,17,19,12,13,8,3,lobster
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,103,121,166,125,202,140,100,60,75,49,89,0,0,5,6,30,147,170,187,117,255,248,189,53,97,48,73,0,5,3,3,0,17,46,54,47,56,63,147,lobster
156,0,0,0,0,0,0,80,88,190,0,4,0,0,0,0,0,9,4,9,3,0,111,82,9,13,59,135,0,0,0,3,0,14,43,107,47,91,86,66,0,0,3,103,0,0,0,50,2,1,4,91,0,3,34,86,61,27,18,24,14,18,38,255,lobster
255,0,0,0,0,0,0,255,171,46,0,0,0,0,0,0,0,0,0,0,0,0,179,40,138,71,66,3,5,35,39,0,3,5,9,0,134,62,90,0,123,86,108,0,63,83,105,0,44,54,97,0,91,73,125,0,119,39,38,115,255,49,0,0,lobster
255,83,0,0,0,0,0,35,139,140,30,106,0,0,3,0,44,6,0,0,0,0,46,16,61,87,88,129,24,87,46,26,62,88,33,25,48,52,5,7,50,69,63,84,30,71,51,54,41,54,13,38,37,34,3,5,19,61,29,33,7,10,30,67,lobster
171,0,0,0,0,0,0,5,244,163,0,0,0,0,0,0,0,0,0,0,0,0,94,65,59,133,135,119,0,3,0,26,0,0,3,10,59,96,83,65,0,47,85,110,0,2,39,99,0,3,31,100,12,50,73,92,0,0,3,47,75,95,127,247,lobster
0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,80,105,93,0,0,6,5,8,42,70,56,3,4,6,0,216,254,249,163,68,115,162,97,127,178,214,140,60,70,59,34,255,255,255,255,255,255,242,129,lobster
162,0,0,0,0,0,0,95,199,134,0,0,0,0,0,0,0,0,0,0,0,0,157,129,102,75,54,65,6,4,0,0,0,7,65,68,86,143,181,156,43,38,26,57,43,33,10,7,17,37,46,64,25,46,62,110,74,63,51,70,64,57,79,113,lobster
160,0,0,0,0,0,0,255,93,63,0,0,0,0,0,0,0,0,0,0,0,0,173,131,79,94,98,130,0,0,0,50,0,0,0,7,74,95,93,108,26,25,33,154,18,0,3,134,7,0,0,114,9,9,14,133,32,26,10,7,19,12,18,255,lobster
0,0,0,0,0,0,0,0,90,29,0,0,0,0,0,0,0,0,0,0,0,0,92,17,128,82,31,3,0,0,0,0,0,0,0,0,129,83,28,5,127,5,0,0,7,0,0,0,22,0,0,0,125,0,0,0,234,0,0,0,0,0,0,0,lobster
96,0,0,0,0,0,0,188,67,66,0,0,0,0,0,0,0,0,0,0,0,0,134,96,0,35,63,74,0,0,0,6,0,0,0,0,27,48,84,105,0,3,41,114,0,0,0,100,0,0,3,122,0,12,46,123,0,0,0,0,6,30,117,255,lobster
255,11,0,0,0,0,0,63,242,250,37,41,4,3,0,0,0,0,0,0,0,0,61,35,105,140,252,179,34,32,34,28,3,0,0,0,6,10,36,28,44,34,127,126,47,38,62,78,7,3,8,34,3,0,30,49,33,4,5,6,24,84,142,161,lobster
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,155,182,133,0,0,0,0,0,0,0,0,8,10,5,7,251,255,255,214,29,5,0,3,47,6,0,0,116,114,96,99,235,155,106,82,91,75,57,75,lobster
255,0,0,0,0,0,0,3,193,147,0,0,0,0,0,3,0,0,0,0,0,0,30,9,84,106,130,49,31,64,141,164,37,70,151,163,47,36,43,15,26,59,111,29,46,64,136,101,63,83,130,102,23,44,45,23,59,18,35,38,74,76,46,12,lobster
255,168,0,0,0,0,0,0,155,190,98,127,0,0,0,0,0,0,0,0,0,0,0,0,115,67,120,129,8,3,3,5,3,0,0,10,10,0,0,0,57,5,24,50,34,3,5,24,12,0,2,27,18,2,0,14,54,14,3,0,0,10,37,7,lobster
0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,109,138,162,156,0,0,0,0,0,0,0,0,0,0,0,0,32,10,39,149,0,0,0,19,0,0,0,6,3,0,0,0,24,30,23,31,19,27,35,241,lobster
255,0,0,0,0,0,0,255,154,32,0,0,0,0,0,0,0,0,0,0,0,0,170,42,144,46,51,42,7,0,21,23,0,0,5,0,129,48,56,27,122,49,67,75,76,24,79,90,57,18,64,69,98,40,82,82,132,50,44,37,144,73,67,255,lobster
255,0,0,0,0,0,0,155,117,128,0,0,0,0,0,0,0,0,0,0,0,0,43,3,64,106,132,178,0,5,8,28,3,0,0,0,35,9,0,0,54,104,87,70,24,6,11,16,35,0,0,0,51,3,0,5,81,17,0,3,0,3,3,3,lobster
255,75,0,92,255,0,0,71,131,144,0,72,0,0,57,95,95,69,46,0,8,0,81,17,42,50,73,73,10,30,88,78,61,36,33,7,93,32,16,9,9,11,22,7,0,9,31,24,18,15,12,3,26,7,3,3,3,0,0,0,5,3,0,0,lobster
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,lobster
169,0,0,180,0,0,0,0,148,90,6,3,3,0,154,202,0,0,0,0,0,0,21,3,172,121,70,24,180,139,124,0,33,3,0,0,23,3,3,0,125,40,13,3,143,34,12,5,64,0,0,0,51,5,0,0,133,23,13,3,0,0,0,0,lobster
255,57,0,0,0,0,0,124,192,139,57,78,3,0,0,0,0,0,0,0,0,0,92,3,167,93,76,75,13,8,5,0,0,0,0,0,101,3,3,0,126,20,5,17,56,0,0,0,62,0,0,0,122,3,0,0,203,43,9,11,7,3,3,0,lobster
30,0,0,0,0,0,0,0,251,65,19,51,0,0,0,0,0,0,0,0,0,0,131,0,255,255,255,208,0,3,4,6,6,7,0,0,158,88,55,28,101,118,94,126,2,7,6,39,19,24,7,10,73,60,46,10,11,20,11,13,20,11,36,117,lobster
255,0,0,0,0,0,0,84,147,76,3,0,0,0,0,0,60,3,0,3,0,0,113,116,24,39,8,3,0,0,0,0,77,73,115,146,55,141,188,134,17,6,1,0,8,0,0,0,56,44,46,76,45,60,50,68,57,28,13,8,0,3,5,39,lobster
216,0,0,0,101,0,0,175,144,121,0,0,0,0,0,0,42,149,1,13,0,0,146,56,36,36,56,108,0,0,0,3,60,67,157,83,102,93,139,100,16,0,0,26,0,0,0,0,47,47,76,43,51,51,78,59,21,0,0,3,0,5,15,3,lobster
123,0,0,0,0,0,0,54,162,68,29,4,0,0,0,0,0,0,0,0,0,0,120,34,155,216,230,95,0,0,0,0,0,0,0,0,47,68,80,65,93,156,218,111,0,0,0,7,0,0,0,4,67,125,174,131,11,5,5,3,0,9,31,97,lobster
0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,76,172,159,160,0,0,0,0,0,0,0,0,32,99,72,32,36,91,82,157,3,3,0,57,0,0,0,40,16,57,44,59,0,0,13,3,3,9,19,244,lobster
255,0,0,0,0,0,0,74,255,255,50,99,12,9,31,7,20,0,0,0,0,0,143,84,194,255,255,255,123,162,153,106,78,50,33,23,119,97,56,35,101,91,85,111,86,68,61,76,76,50,46,40,83,47,27,33,34,46,21,28,10,38,42,70,lobster
255,0,0,0,0,0,0,60,169,107,0,0,0,0,0,0,0,0,0,0,0,0,47,6,33,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,31,0,0,0,22,0,0,0,24,0,0,0,29,0,0,0,48,0,0,0,0,0,0,0,lobster
255,0,0,0,0,0,0,72,255,164,9,5,0,0,0,0,0,0,0,0,0,0,59,5,255,170,46,38,16,0,5,5,3,0,0,0,84,9,0,0,206,44,10,12,81,3,6,5,59,0,0,0,117,3,0,0,214,49,5,3,0,0,0,0,lobster
98,0,0,0,0,0,0,37,140,47,0,0,0,0,0,0,6,8,0,0,0,0,146,45,21,64,32,7,0,0,0,0,47,128,207,215,87,146,129,56,0,28,12,2,0,0,0,0,30,80,105,103,37,81,86,63,0,10,29,24,5,30,59,5,lobster
3,8,0,0,30,0,0,0,32,39,109,70,105,40,7,30,57,134,0,0,0,0,0,0,176,220,206,164,235,231,176,95,66,92,108,98,0,0,0,0,136,134,128,149,189,150,149,157,75,63,72,106,7,0,2,8,75,29,33,29,26,37,62,124,lobster
11,0,0,0,0,0,0,0,87,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,173,107,93,3,0,0,0,0,0,0,0,7,3,0,0,148,89,81,137,16,4,6,34,0,0,0,22,11,0,0,12,93,38,35,21,17,27,44,239,lobster
255,0,0,0,0,0,0,222,131,234,0,7,0,0,0,0,0,0,0,0,0,0,105,100,0,82,103,146,0,0,7,25,0,0,3,5,0,48,56,62,0,45,59,118,0,17,35,102,0,9,29,83,0,32,47,100,3,7,24,53,70,78,102,220,lobster
255,40,0,0,0,0,0,94,111,255,9,93,0,0,0,0,0,65,0,3,0,0,127,90,26,51,126,224,0,0,5,19,7,0,79,69,40,66,50,40,10,23,9,78,0,3,7,25,2,2,26,44,12,15,14,32,0,2,9,32,0,24,29,34,lobster
0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,29,22,0,0,0,0,28,75,97,135,3,4,7,45,71,28,21,30,50,22,13,4,162,186,191,233,105,110,134,208,192,199,125,100,90,102,148,133,lobster
26,0,0,0,49,0,0,70,85,17,7,89,16,20,55,34,62,124,0,0,0,0,130,51,80,79,101,107,42,52,145,172,31,33,113,59,78,73,81,73,50,72,87,73,36,43,90,116,36,41,57,46,47,39,46,45,77,27,27,26,36,59,70,24,lobster
255,0,0,0,0,0,0,0,230,191,0,3,0,0,0,0,0,0,0,0,0,0,26,22,117,208,221,149,0,0,0,0,0,0,0,0,32,86,76,38,11,29,88,97,2,0,0,6,3,0,0,3,4,5,32,43,12,0,0,0,0,0,3,37,lobster
